day_number,hour_number,avg_speed
18,0,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0.671999990940094
18,8,0.9780000150203705
18,9,0.6496551787031108
18,10,0.08842105143948606
18,11,0.5929411684765536
18,12,0.7753846049308777
18,13,0.18648648382844152
18,14,0
18,15,1.3971428786005293
18,16,0.8835294053835028
18,17,0
18,18,0
18,19,0
18,20,0.47106383328742174
18,21,0
18,22,0
18,23,0
19,0,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0.8222222162617578
19,9,0.916363624009219
19,10,0
19,11,1.2599999830126762
19,12,0.9212307654894316
19,13,1.5749999787658453
19,14,0.8894117790109971
19,15,2.1599999708788737
19,16,1.4185714295932226
19,17,1.0799999854394366
19,18,0.32600000500679016
19,19,0
19,20,0
19,21,0
19,22,0
19,23,0
20,0,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,1.007999986410141
20,6,0.9449999872595072
20,7,0
20,8,0.5039999932050705
20,9,0
20,10,0.9449999872595072
20,11,1.7788235054296606
20,12,2.1599999708788737
20,13,0.4171034426524722
20,14,0.2758333304276069
20,15,0.3251612859387552
20,16,0
20,17,0.12759493498862545
20,18,0.5433333354691665
20,19,0
20,20,2.445000037550926
20,21,0.6573912954848745
20,22,0
20,23,0
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,1.4399999805859156
21,6,0
21,7,0.2942647039890289
21,8,0.8150000125169754
21,9,0.26526315431845815
21,10,0
21,11,0
21,12,0.5639999985694886
21,13,0
21,14,1.0071428545883723
21,15,0
21,16,0.27616437983839476
21,17,0.5305263086369163
21,18,0
21,19,1.145454530011524
21,20,0
21,21,1.007999986410141
21,22,0
21,23,0
22,0,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0.7825000025331975
22,7,1.0692857099430904
22,8,0
22,9,0.33599999547004705
22,10,1.6799999773502352
22,11,1.1354716881266183
22,12,0.6958333278695743
22,13,0.9060674035147336
22,14,1.5810526201599524
22,15,0.6962790669396866
22,16,0.18087378838687268
22,17,0.5907692244419683
22,18,0.5806451555221313
22,19,0.3056250046938658
22,20,0.5039999932050705
22,21,0
22,22,0
22,23,0
23,0,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0.5781818235462363
23,8,1.1250000000000002
23,9,0.6226229594379173
23,10,0
23,11,0
23,12,0.6434042466447709
23,13,1.875999987125397
23,14,0.6636363674293866
23,15,0.6657142830746515
23,16,1.8990000039339066
23,17,0
23,18,0.3451764758895425
23,19,1.007999986410141
23,20,0
23,21,0
23,22,0
23,23,0
