day_number,hour_number,avg_speed
18,0,21.516620896978793
18,1,20.167650104233612
18,2,20.24137510769534
18,3,19.848782348468262
18,4,21.365980897486587
18,5,20.88342280430095
18,6,19.581702468442565
18,7,19.16594149958345
18,8,19.33895074863897
18,9,18.958149645170245
18,10,18.851398727541344
18,11,18.92616307055329
18,12,18.682070640014654
18,13,18.714777297787304
18,14,18.55763279835856
18,15,18.500640132575946
18,16,18.58557207057765
18,17,18.67096631890256
18,18,18.873237542102316
18,19,19.086428171684513
18,20,19.40190445198409
18,21,19.674440933041694
18,22,20.451956746603063
18,23,21.010413528175633
19,0,21.6647193135851
19,1,20.06732410516851
19,2,20.360874934837813
19,3,19.987390946574376
19,4,0
19,5,0
19,6,0
19,7,18.78279424069672
19,8,18.555287177803905
19,9,18.79693048517058
19,10,18.468842736706343
19,11,18.342548366666453
19,12,18.06467184089147
19,13,18.313367161805203
19,14,18.444091609680907
19,15,18.056224475932073
19,16,17.83118916077373
19,17,18.255609961260383
19,18,18.879803744001133
19,19,19.381069961328937
19,20,19.535546896213585
19,21,19.78947650101585
19,22,20.188474541138778
19,23,20.621766683894293
20,0,22.016078444140664
20,1,20.44569157143979
20,2,19.830617713747376
20,3,20.151987813885547
20,4,21.322387726594762
20,5,21.512111589970974
20,6,20.139070958523043
20,7,18.877277442018116
20,8,18.531253810442056
20,9,18.83300557311415
20,10,18.63258148145806
20,11,18.246348241915168
20,12,18.15556677084627
20,13,18.028554464933453
20,14,17.854930888078904
20,15,16.463847879831672
20,16,16.567089188426298
20,17,16.583956437839827
20,18,18.149819840960184
20,19,18.72948783256205
20,20,19.85952592272931
20,21,19.703257586628762
20,22,20.246999806351997
20,23,20.62821526633546
21,0,21.943789208450212
21,1,20.038640780306032
21,2,19.864472869892833
21,3,20.213815870886517
21,4,21.90167060583675
21,5,21.680167008741662
21,6,20.324145585195193
21,7,18.923941493349563
21,8,18.77670837312886
21,9,18.926045050392954
21,10,18.381430093043083
21,11,17.903365523874285
21,12,17.377954930511148
21,13,17.68843034595687
21,14,17.85210482492769
21,15,17.627346621975903
21,16,17.093917521141034
21,17,17.351093142765365
21,18,18.647208623639994
21,19,19.370302350133628
21,20,19.72780729307512
21,21,19.778924776656794
21,22,20.016562072479637
21,23,21.05388484295278
22,0,21.75641342297764
22,1,19.850951152797684
22,2,20.1936968308079
22,3,19.988632108268977
22,4,21.88385566623823
22,5,21.598834477239468
22,6,20.353536618485666
22,7,19.274162578548296
22,8,18.868565203744424
22,9,19.248105288196673
22,10,18.582703769693172
22,11,18.181795737123107
22,12,18.26331925858273
22,13,18.175100425643397
22,14,18.14527555556079
22,15,18.01093198514444
22,16,18.07588021688552
22,17,18.430803182421144
22,18,18.965116785138274
22,19,19.407240528638567
22,20,19.602680248132017
22,21,19.716097017457287
22,22,20.110706182339996
22,23,20.926729797003915
23,0,21.908958781682216
23,1,20.31732520864544
23,2,20.143163570237615
23,3,20.01432567841688
23,4,21.87879491499769
23,5,21.741477034570018
23,6,20.668208265297277
23,7,19.52373116701614
23,8,19.334098913716826
23,9,19.22598838479268
23,10,18.768648095575223
23,11,18.784413120762522
23,12,18.56178768562735
23,13,18.303431970252483
23,14,18.45903371356211
23,15,18.65058290737736
23,16,18.62234634828683
23,17,18.76810535808394
23,18,19.120599459758573
23,19,19.384682587687887
23,20,19.65884914464985
23,21,19.736267919510016
23,22,20.392770487484043
23,23,21.014312343684573
