day_number,hour_number,avg_speed
18,0,26.654529734204598
18,1,25.175987720489502
18,2,0
18,3,0
18,4,26.862422884191805
18,5,26.296862123335984
18,6,25.909374628606987
18,7,25.75819064530054
18,8,24.948673884312484
18,9,24.691665441989894
18,10,24.502969671892945
18,11,24.28591447467716
18,12,24.095771185439034
18,13,23.768260225565914
18,14,23.791364295558314
18,15,23.72633531536915
18,16,23.653576124308206
18,17,23.728642116177348
18,18,23.928301938529067
18,19,24.169555245016724
18,20,24.748466590364913
18,21,25.637155341499813
18,22,26.150393742145823
18,23,26.582689373179516
19,0,27.087448337098383
19,1,23.375998020172116
19,2,0
19,3,0
19,4,0
19,5,0
19,6,22.92011778027403
19,7,21.124519202771356
19,8,21.682697849157055
19,9,22.288284603176805
19,10,22.39806052168286
19,11,22.061186654384134
19,12,21.917086048769207
19,13,21.710906738236417
19,14,21.617500290952563
19,15,20.8436457739123
19,16,20.202021067278448
19,17,20.63684016237794
19,18,22.099519185696554
19,19,23.373618271995774
19,20,23.741396747529095
19,21,24.598312748423755
19,22,25.62048523371742
19,23,26.23165367866453
20,0,26.935630861076984
20,1,27.539995908737183
20,2,0
20,3,0
20,4,26.078779222871827
20,5,24.737813732588453
20,6,23.471843031000585
20,7,21.562971210594768
20,8,21.642512129737582
20,9,22.149361872407233
20,10,22.259268217401377
20,11,21.998312188099078
20,12,21.74498075409544
20,13,21.78659470617814
20,14,21.608704356743225
20,15,20.72998370609407
20,16,20.138181785783075
20,17,20.42230096147376
20,18,21.93623367149832
20,19,23.539507456141695
20,20,24.208925646031048
20,21,25.130549613236543
20,22,25.36666786166041
20,23,26.207227382834628
21,0,26.762683323482335
21,1,27.40499496459961
21,2,0
21,3,0
21,4,26.298116678509754
21,5,24.658432901122577
21,6,23.654434969348408
21,7,21.8484580449116
21,8,21.630385697869045
21,9,22.015370951648627
21,10,21.855847108026868
21,11,21.25096219225665
21,12,20.950037215844237
21,13,20.779712742610425
21,14,20.68655441456463
21,15,19.73825618998943
21,16,19.30798634554287
21,17,20.170786419869362
21,18,22.078708056537803
21,19,23.689493426662782
21,20,24.13470093330234
21,21,25.355481589038746
21,22,25.84547046306802
21,23,26.110892119998333
22,0,26.943555341826546
22,1,30.219979286193848
22,2,0
22,3,2.760000005364418
22,4,26.40059361125683
22,5,25.042717878618753
22,6,24.015248947464283
22,7,22.495606293251786
22,8,22.251077458762406
22,9,22.28409936710767
22,10,21.852544621824798
22,11,21.051254655294123
22,12,20.493992244710704
22,13,20.791004750775645
22,14,20.490659427102443
22,15,20.187848111916992
22,16,20.0288446669068
22,17,20.939622931181443
22,18,22.362664579753154
22,19,23.63225986406739
22,20,24.24952477356202
22,21,25.23966769629797
22,22,25.883009741102374
22,23,26.059486610096574
23,0,27.182345730397635
23,1,36.69999599456787
23,2,0
23,3,0
23,4,26.253571578688522
23,5,24.950741466898968
23,6,24.28814472418705
23,7,23.141364881674697
23,8,22.78480704704823
23,9,22.535933085799122
23,10,22.098376180529954
23,11,21.663174779811456
23,12,21.70123943687043
23,13,21.883284512369467
23,14,22.281834676536075
23,15,22.35844315614223
23,16,22.255624579601236
23,17,22.41086082092841
23,18,22.83197708974295
23,19,23.64201437340825
23,20,24.524873618779772
23,21,25.37914564916364
23,22,26.151064251032015
23,23,26.403088971342996
