day_number,hour_number,avg_speed
18,3,12.317056592905296
18,7,29.622338562450064
18,17,31.931729243180452
18,0,26.400624617552133
18,18,31.54051087506873
18,16,31.12921131645514
18,4,26.916200514578765
18,12,30.16795396785037
18,9,30.068196787353997
18,10,30.446332407082945
18,15,31.207069520028256
18,20,31.963238298494137
18,21,29.146211170102514
18,6,30.249345160579363
18,13,29.1658489622743
18,22,27.996543402201368
18,1,28.956219781705023
18,14,31.36824561201071
18,23,29.82457541960113
18,2,6.5856679280598955
18,11,29.0466639465881
18,5,25.75572771417587
18,19,31.781695675403995
18,8,29.02469980072131
19,4,0
19,6,13.851785804633272
19,9,30.491156348842104
19,17,29.78653862606258
19,22,26.3725691227664
19,1,26.89759577479109
19,14,29.36611994760334
19,23,28.811317832830053
19,11,31.75817779253022
19,20,29.74346439409473
19,3,2.6659998893737793
19,15,30.721817371089436
19,8,29.287386040942316
19,16,29.195272306795466
19,21,31.086884299213317
19,13,30.08103746203168
19,18,30.84407786755758
19,19,30.72721479121804
19,7,13.366367276225779
19,0,27.86220610578804
19,12,28.248862550495062
19,2,0
19,5,0
19,10,30.627752866388686
20,20,30.12487244887452
20,1,27.47593399563676
20,21,30.058862449752976
20,12,29.188357743471727
20,14,29.88517631327436
20,23,29.75123905945851
20,2,0
20,19,30.35113769748952
20,5,28.89764740109382
20,7,27.647113032448406
20,15,30.529288784320613
20,16,29.72820441840185
20,8,30.87765891617631
20,17,30.71319223561573
20,22,25.661199079838813
20,10,30.418622741546447
20,0,27.699581270063128
20,6,28.937322178624562
20,11,29.421351841155214
20,9,30.012097711199253
20,18,30.2989121980563
20,4,24.437483274244226
20,13,29.094143708183978
20,3,17.648947802762834
21,16,28.8042816621927
21,0,26.784301772970235
21,19,30.527493310711925
21,13,29.384866453807845
21,22,26.839290573628254
21,9,29.834858994333015
21,15,30.825967574557666
21,21,30.02302679034362
21,17,30.355148759842706
21,2,0
21,18,30.106991275903773
21,12,29.414802270473253
21,6,28.932408241778194
21,11,30.935382030283726
21,1,27.370236073534922
21,20,29.976169587003277
21,5,28.71023545461765
21,8,30.566876171157777
21,3,18.022285332857084
21,4,24.349870982659137
21,10,29.260888441818306
21,7,29.0263519846594
21,14,29.30506777296685
21,23,29.146639284422477
22,11,31.235228826575757
22,7,29.334586887359634
22,3,16.830207602452422
22,21,28.942953461729697
22,4,24.915558219111222
22,18,32.863854659843206
22,19,23.160385508740546
22,15,33.86011150066668
22,5,28.917324660185695
22,9,31.86373466017074
22,2,1.2290000915527344
22,20,29.35247544081189
22,12,29.39904907483363
22,13,29.804177716117234
22,8,30.672860181323248
22,0,28.684059097459112
22,22,26.13754009107315
22,1,29.10727947950363
22,6,29.377795319477414
22,14,24.86470482295535
22,16,32.69756165969869
22,23,29.40515483363179
22,10,30.85592485922416
22,17,31.283705686235002
23,10,30.184385513849247
23,5,29.005979155682333
23,18,30.477060388755564
23,16,29.69552030337908
23,17,30.435284833537942
23,12,29.975820739094797
23,21,30.43461793563685
23,23,28.85938041627579
23,0,25.817791003685493
23,3,17.932557249655492
23,2,0
23,7,28.75735041124964
23,4,24.405175864122658
23,9,31.569237142738007
23,6,29.29755334776137
23,14,21.414093917547646
23,8,31.19141459380759
23,22,26.770586403756745
23,20,30.241387979851176
23,11,26.7649541218992
23,15,30.711996106459083
23,1,27.014078966683304
23,19,30.312032340039053
23,13,30.882762086128213
