day_number,hour_number,avg_speed
18,0,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0.335999995470047
18,8,0.9780000150203705
18,9,0.7274210609887776
18,10,0.05478260795707288
18,11,0.3217021233223854
18,12,1.679999977350235
18,13,0.658181809227575
18,14,0
18,15,0.6985714393002647
18,16,2.319711365343369
18,17,0
18,18,0
18,19,0
18,20,0.4710638332874217
18,21,0
18,22,0
18,23,0
19,0,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0.739999994635582
19,9,0.6299999915063381
19,10,0
19,11,1.679999977350235
19,12,1.0552000045776366
19,13,0.7874999893829226
19,14,0.44470588950549855
19,15,1.0799999854394369
19,16,1.7489999905228615
19,17,0.5399999927197184
19,18,0.16300000250339508
19,19,0
19,20,0
19,21,0
19,22,0
19,23,0
20,0,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,1.007999986410141
20,6,2.5199999660253525
20,7,0
20,8,0.25199999660253525
20,9,0
20,10,1.2599999830126762
20,11,2.1599999708788737
20,12,1.0799999854394369
20,13,0.24191999673843384
20,14,0.3001504982619182
20,15,0.3599999951464789
20,16,0
20,17,0.0681081071898744
20,18,0.2716666677345832
20,19,0
20,20,1.222500018775463
20,21,0.6573912954848745
20,22,0
20,23,0
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0.7199999902929578
21,6,0
21,7,0.49264705356429606
21,8,0.8150000125169754
21,9,0.13263157715922907
21,10,0
21,11,0
21,12,0.2819999992847443
21,13,0
21,14,0.7833333313465118
21,15,0
21,16,0.31499999575316906
21,17,0.26526315431845815
21,18,0
21,19,0.5727272650057619
21,20,0
21,21,1.007999986410141
21,22,0
21,23,0
22,0,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0.7687304369781328
22,7,1.0489999999602637
22,8,0
22,9,0.1679999977350235
22,10,1.2599999830126762
22,11,1.0203571358163441
22,12,0.8141612934489404
22,13,0.4799999935286386
22,14,2.634461559355259
22,15,0.7022727242150865
22,16,0.18630000203847885
22,17,0.6018193737998477
22,18,0.6925714207547051
22,19,0.4075000062584877
22,20,0.25199999660253525
22,21,0
22,22,0
22,23,0
23,0,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0.567661295644939
23,8,1.137857143767178
23,9,0.9899166800702611
23,10,0
23,11,0
23,12,0.41999999433755875
23,13,1.794107130595616
23,14,0.6663970624589745
23,15,0.9321428542690617
23,16,2.1700000017881393
23,17,0
23,18,0.17258823794477127
23,19,0.5039999932050705
23,20,0
23,21,0
23,22,0
23,23,0
